created_at,id,text,source,name,username,location,verified,description,retweets,likes,attachments,replies
2022-06-26 20:47:11+00:00,1541161170815827968,Got to city office (first time in 2weeks) unpacked laptop missing usbc-dp adaptor Now waiting on but to do home and work. Stationary shop didn't have one 😭😭😭 #Stressed #HeavyWorkload #NotEnoughHours,Twitter for Android,Candace,xCandybabyxx,"Ottawa, Ontario",0.0,backup babyyy 💦🌸 snap:candythooo follow my main: @candaceselene,0,0,NaN,"{""data"":[{""id"":""1541181977411235840"",""text"":""@RealAliCopeman Jaycar likely have them. I'm nearby with time to kill. Want me to check?""}],""meta"":{""newest_id"":""1541181977411235840"",""oldest_id"":""1541181977411235840"",""result_count"":1 }}"
2022-06-26 12:43:19+00:00,1541039402062958592,@Morrisons this is absolutely ridiculous!! 95% of meat/meal items are missing!! I am stuck at home with a fractured spine &amp; utterly rely on home shopping. Now I’ve got to go online with another supermarket &amp; do another shop!! #stressed #upset #disappointed https://t.co/UJhF6d94Bz,Twitter for iPad,TrustedHealth.Info,TrustHealthInf,NaN,0.0,Trusted Health Information,0,0,{'media_keys': ['3_1541039395301646337']},"{""data"":[{""id"":""1541040433740091392"",""text"":""@Surreylaydee Hi Kazzianne, I'm really sorry about this. DM me your Tweet and Screenshot along with your order number, address, email address and telephone number so I can look into this for you -Thanks Mark""}],""meta"":{""newest_id"":""1541040433740091392"",""oldest_id"":""1541040433740091392"",""result_count"":1 }}"
2022-06-25 18:48:18+00:00,1540768865084489728,@KendraNicoleKy This will be me all next month I’m trying something new #stressed 🫤🤦🏼‍♀️☕️,Twitter for iPhone,RogerFoxwell,RogerFoxwell,Glasgow ,0.0,"Personal Change Coach and Therapist. Why wait to discover how far the power of your mind can take you?  Hypnosis, EFT, NLP and way beyond",0,0,NaN,"{""data"":[{""id"":""1540893864675926018"",""text"":""@JoesieDink @KendraNicoleKy Me starting Monday""},{""id"":""1540769091748872192"",""text"":""@JoesieDink I failed cause i had it today lol … keep me lifted lol""}],""meta"":{""newest_id"":""1540893864675926018"",""oldest_id"":""1540769091748872192"",""result_count"":2 }}"
2022-06-24 21:55:50+00:00,1540453672546701314,"So @USPS wants $1,000 to ship my PC. 
Since this is insane I may just see about purchasing a new PC through @NZXT!
If you have any recommendations on what to do for either side I’d be greatly appreciative.
#pc #stressed https://t.co/5tC7FoZG3S",Twitter for iPhone,NaN,NaN,NaN,,NaN,0,3,{'media_keys': ['16_1540453666477539328']},"{""data"":[{""id"":""1540502885401870336"",""text"":""@Slaughter_bear @USPS @NZXT Where are you shipping it to and from? I’ve shipped PCs to other countries for a lot less, but if you are really considering on a new PC I’d love to work with you. Just check out my work. https://t.co/H68bj9uMQp""},{""id"":""1540476028174290944"",""text"":""@Slaughter_bear @USPS \uD83D\uDC40""},{""id"":""1540466142355099650"",""text"":""@Slaughter_bear I did some guestimating using my pc weight and some measurements since I'm not sure what your build is 100%, but it shouldn't cost more than like $350-500 for the extreme, I'm seeing some shipping prices as low as $77 for 3 day shipping.""},{""id"":""1540464025238228997"",""text"":""@Slaughter_bear According to the internet it shouldn’t be that much. Quick google and saying the box dimensions are like 28x16x16 (packing box) and no more than 55 lbs prices range from 100-500$""},{""id"":""1540455244592717824"",""text"":""@Slaughter_bear @USPS @NZXT Nah man. That's ridiculous. The NZXT computer you'd buy would also be shipped and they certainly aren't paying $1,000 each. @PowerGPU offers actual crate shipping and though it isn't cheap, it's also not even close to $1,000. We ship a lot, I can walk you through some options.""}],""meta"":{""newest_id"":""1540502885401870336"",""oldest_id"":""1540455244592717824"",""result_count"":5 }}"
2022-06-24 21:20:05+00:00,1540444676146298881,"Feeling #stressed?

Work-related stressors (including work-life conflict) pose a major risk to #health and #mentalhealth, including #anxiety, #burnout &amp; #depression.

Check out this #video &amp; take the survey!
https://t.co/XNWiF6MVVn

Your health matters! Take the first step.
1/2",Twitter Web App,NaN,NaN,NaN,,NaN,2,0,NaN,"{""data"":[{""id"":""1540444680202207232"",""text"":""So you've taken the Healthy Work Survey and want to do something about your #workstress?\n\nCheck out our Healthy Work Tools! https://t.co/zH2tdCTEyc\nHere you can find ways to cope individually AND collectively. \n\nYou're not alone. Get the support you need today.\n#healthywork\n2/2""}],""meta"":{""newest_id"":""1540444680202207232"",""oldest_id"":""1540444680202207232"",""result_count"":1 }}"
2022-06-24 19:58:23+00:00,1540424116775305216,How do I know I’m spiraling? Was talking w @clifflampe about our needs for retail therapy re: SCOTUS. I started the morning thinking maybe a 👚 ? Then what about a 🚗 ? Now I’m thinking a whole-ass 🏠. Luckily I couldn’t close today even if I were that far gone. #stressed,Twitter for iPhone,NaN,NaN,NaN,,NaN,0,5,NaN,"{""data"":[{""id"":""1540430085819359232"",""text"":""@libbyh @clifflampe Sneakers.""}],""meta"":{""newest_id"":""1540430085819359232"",""oldest_id"":""1540430085819359232"",""result_count"":1 }}"
2022-06-24 18:51:50+00:00,1540407366575083520,"Tell me you're not ok without saying you're not ok. I'll go first:

#RoeVsWade #Stressed #mybodymychoice https://t.co/AeJbgatqNx",Twitter for Android,NaN,NaN,NaN,,NaN,0,0,{'media_keys': ['3_1540407363601154048']},"{""data"":[{""id"":""1540407692497387520"",""text"":""@SongBird43085 Oh, didn't know the pity party started.""}],""meta"":{""newest_id"":""1540407692497387520"",""oldest_id"":""1540407692497387520"",""result_count"":1 }}"
2022-06-24 10:27:00+00:00,1540280322499252224,"Does anyone know the legal ins and outs for fences? 

We own our home, next door are housing. They want a new fence and the housing want us to pay 50% however there is nothing wrong with our side of it and we physically do not have the money to pay it. #stressed",Twitter for iPhone,NaN,NaN,NaN,,NaN,0,0,NaN,"{""data"":[{""id"":""1540290947195576320"",""text"":""@KayHaskayne_TW It depends which fence you are responsible for, for instance at mine we’re responsible for the one on the left. So whoever is responsible for that particular side of fencing has to pay x""},{""id"":""1540286881581121538"",""text"":""@KayHaskayne_TW If they’re not your fences then you shouldn’t have to pay anything, check your deeds and land registry to confirm they’re not yours and if not tell them you’re not paying anything""}],""meta"":{""newest_id"":""1540290947195576320"",""oldest_id"":""1540286881581121538"",""result_count"":2 }}"
2022-06-24 10:07:01+00:00,1540275294891872256,"@PrincessCruises we are due to embark on Sky princess tomorrow but we are stressed out with the Medallion app,it won't upload our medical documents,it keeps crashing&amp; we fear we will not be allowed to board.I've tried logging in online but that won't except my password #stressed",Twitter for Android,NaN,NaN,NaN,,NaN,0,0,NaN,"{""data"":[{""id"":""1540341025889214465"",""text"":""@gary_doherty14 Hi Gary. We are sorry for this. Please do not worry! Bring your documents with you, and we will verify them at check-in. Our team will be happy to assist you at embarkation.\nWe look forward to welcoming you onboard.""}],""meta"":{""newest_id"":""1540341025889214465"",""oldest_id"":""1540341025889214465"",""result_count"":1 }}"
2022-06-24 09:58:49+00:00,1540273229645897731,Has anyone been able to get an appointment for a visa to Portugal in the UK?! @VFSGlobal @vfsglobalcare #stressed,Twitter for iPhone,NaN,NaN,NaN,,NaN,0,0,NaN,"{""data"":[{""id"":""1541744963129675777"",""text"":""@Shelson14 @VFSGlobal @vfsglobalcare I have not and I’ve been checking for over a month now. Holiday booked for beginning August""}],""meta"":{""newest_id"":""1541744963129675777"",""oldest_id"":""1541744963129675777"",""result_count"":1 }}"
