reply,group
@sweetdayIight i love you too sleep well mwahh,Positive
@tobesocharly goodnight i love you,Positive
@tobesocharly goodnightt,Neutral
@sweetdayIight cries yes i will &lt;33,Neutral
@tobesocharly if u need to talk about it text me &lt;3,Neutral
"@tobesocharly goodnight, sleep well and see you in a few hours&lt;3",Neutral
@ChomperKat Sure. Just tell me what I can do 😌,Positive
@ChomperKat Sure! :),Positive
@WorkerUnityNow You are so welcome! Literally!  :),Positive
"@WorkerUnityNow You're not alone! We don't want you to feel that way. We made an app that allows you to find the top 5 people most like you wherever you go and we'd love for you to join our community!

DM with any Q's!

IOS:  https://t.co/DM2bXJh0DV

Android: https://t.co/86MylpD88F",Positive
@myfiVeApp Thank you ❤️,Neutral
@MzFireworks 😮‍💨🙌🏼☺️😂,Neutral
@MzFireworks Just charged mines🗣🎉😂😂😂,Neutral
@tarayoung_26 Ayeeeeee😂😭 https://t.co/yipssbeXNF,Neutral
"I've got to raise this money by noon. Hopefully moving this week, but need help to do so. Please Share my plea for help. 

@FernandAubry @CarolynUrban2 @PaulSorrentino3 @ripkin @ASnactivist @s4dsqu1dman @comradebirb @GotBeachGlass @Comrade_Aoife @TheComradeFist",Neutral
@Meeracle_eth You sef collect 🎤🎙🎤🎙🔊🔊🔊📢📢,Neutral
@KaweecheIchen real creative,Positive
@panicatheworId thank u aang ur so real🫶,Positive
@KIEUMYSALEX that's so real but I'll be rooting for you my prayers WILL change the universe in case it's needed amen,Positive
@Crissieamg Please see DM. Thanks!,Positive
@sarkissmith 🫠,Neutral
@Chandler_Cahill Thanks daddy 🖤🖤🖤,Positive
@WTr8sh God you’re so hot,Positive
@WTr8sh Anything for you zaddy 😫,Neutral
@FranoisLaporte Thanks man,Positive
@Cuz_I_Was_High Am in ma room weeding and feeling like the most high,Positive
@Cuz_I_Was_High Dm directly or Snapchat:@brettalvine,Positive
@Cuz_I_Was_High Text liljah58 on IG they’re reliable,Positive
@Cuz_I_Was_High https://t.co/IOVnyMMz05,Positive
@Cuz_I_Was_High https://t.co/qDR69aLvgl,Positive
@Cuz_I_Was_High Bet,Positive
"@colinhwray How can we address gun violence in America? Would Jesus approve of the National Rifle Association? Link below 👇

#GunControlNow #GunViolencePrevention #ProtectingOurKidsAct #BanAssaultWeaponsNow #MarchForOurLivesJune11 #EndGunViolence #MarchForOurLives

https://t.co/u5Ed7xs9q8",Neutral
@daveyb0072 Thanks Dave,Positive
"@Carmel311710 Take csre Carmel, I hope life calms down for you soon, get some sleep,I'm hoping you feel better quickly!",Positive
"@Carmel311710 Thanks, you too.",Positive
@donnahot4Gaz Hope you feel better soon Donna,Positive
"@daveyb0072 Not too often thankfully, just had a few stressful things here to deal with so I wasn’t sleeping which had me tired and brought on the headaches. Few good nights and I’ll be fine , thanks Dave 🤗",Positive
"@JeffFarkas10 Thanks Jeff , I won’t be on here much today either until this headache packs it’s bags lol , have a great day 🤗",Positive
@Carmel311710 ❤️,Neutral
@Carmel311710 I’ve had one too. Think it’s partly sinus issues from allergies…,Neutral
@Carmel311710 You too,Neutral
@Carmel311710 Sorry to hear Carmel do you get them often?,Negative
